
-- test_adjacency_recursive p#642 i=5
         452253 function calls (445756 primitive calls) in 0.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.004    0.000 __init__.py:1329(_add_data_doc)
      165    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
     1798    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      882    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
     2731    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      107    0.000    0.000    0.000    0.000 inspect.py:534(_findclass)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      274    0.000    0.000    0.001    0.000 function_base.py:437(_add_docstring)
        1    0.000    0.000    0.236    0.236 pyplot.py:4(<module>)
        1    0.000    0.000    0.005    0.005 scimath.py:1(<module>)
      426    0.000    0.000    0.004    0.000 colors.py:129(is_color_like)
      125    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       17    0.000    0.000    0.005    0.000 rcsetup.py:928(validate_cycler)
    60/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
   123/33    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1150    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      653    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      708    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.014    0.007 core.py:1(<module>)
      454    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      162    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       56    0.000    0.000    0.001    0.000 __init__.py:770(_open_file_or_url)
        1    0.000    0.000    0.011    0.011 patches.py:1(<module>)
     1008    0.000    0.000    0.001    0.000 colors.py:266(<genexpr>)
       82    0.000    0.000    0.001    0.000 __init__.py:1873(make_alias)
      750    0.000    0.000    0.000    0.000 rcsetup.py:234(validator)
       53    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
     1260    0.000    0.000    0.000    0.000 colors.py:276(<genexpr>)
