         26965268 function calls (26600257 primitive calls) in 56.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9941    0.107    0.000    0.222    0.000 transforms.py:1910(rotate)
     7182    0.177    0.000    0.219    0.000 cbook.py:2570(normalize_kwargs)
    21120    0.059    0.000    0.217    0.000 transforms.py:2702(_revalidate)
    18165    0.033    0.000    0.217    0.000 artist.py:900(set_label)
       20    0.215    0.011    0.215    0.011 {built-in method sleep}
       82    0.001    0.000    0.213    0.003 axis.py:868(set_clip_path)
     5400    0.010    0.000    0.211    0.000 transforms.py:1309(__array__)
    18144    0.074    0.000    0.210    0.000 _base.py:2289(<listcomp>)
    72824    0.199    0.000    0.208    0.000 numeric.py:2767(geterr)
   179287    0.193    0.000    0.207    0.000 {built-in method max}
      696    0.006    0.000    0.207    0.000 axis.py:381(_get_text1)
    18501    0.022    0.000    0.206    0.000 artist.py:884(<listcomp>)
   116491    0.094    0.000    0.205    0.000 weakref.py:292(__new__)
    42360    0.021    0.000    0.205    0.000 _methods.py:37(_any)
    18268    0.016    0.000    0.201    0.000 axis.py:702(get_transform)
4260/2130    0.012    0.000    0.199    0.000 transforms.py:2400(inverted)
       42    0.001    0.000    0.199    0.005 axis.py:641(__init__)
     9853    0.032    0.000    0.196    0.000 transforms.py:1066(__init__)
    19144    0.181    0.000    0.195    0.000 {built-in method sum}
1227683/1227410    0.194    0.000    0.194    0.000 {built-in method len}
    20251    0.146    0.000    0.193    0.000 twodim_base.py:139(eye)
      696    0.006    0.000    0.192    0.000 axis.py:531(_get_text2)
   392133    0.191    0.000    0.191    0.000 {built-in method iter}
    36288    0.099    0.000    0.191    0.000 cbook.py:1761(get_siblings)
    28728    0.048    0.000    0.187    0.000 cbook.py:2215(_check_1d)
    18268    0.033    0.000    0.186    0.000 scale.py:79(get_transform)
      328    0.001    0.000    0.185    0.001 axis.py:191(set_clip_path)
    15138    0.045    0.000    0.185    0.000 artist.py:856(_update_property)
     5671    0.009    0.000    0.182    0.000 {method 'view' of 'numpy.ndarray' objects}
    10755    0.054    0.000    0.182    0.000 transforms.py:402(_get_bounds)
    83024    0.177    0.000    0.177    0.000 {method 'copy' of 'numpy.ndarray' objects}
    18144    0.058    0.000    0.176    0.000 _base.py:2292(<listcomp>)
   105295    0.126    0.000    0.172    0.000 six.py:577(itervalues)
     1890    0.023    0.000    0.171    0.000 transforms.py:519(transformed)
    21120    0.013    0.000    0.170    0.000 lines.py:744(_get_transformed_path)
       62    0.006    0.000    0.170    0.003 _base.py:848(_update_transScale)
    96236    0.118    0.000    0.169    0.000 _weakrefset.py:26(__exit__)
    77264    0.119    0.000    0.167    0.000 cbook.py:687(is_string_like)
    27216    0.108    0.000    0.163    0.000 _base.py:2817(get_xlim)
45854/45833    0.043    0.000    0.162    0.000 transforms.py:2567(get_matrix)
        1    0.000    0.000    0.161    0.161 colorbar.py:20(<module>)
    10982    0.026    0.000    0.160    0.000 pyplot.py:579(gcf)
    11358    0.047    0.000    0.159    0.000 lines.py:1086(set_linestyle)
