memoizing neighbors
got new color (0, 255, 255, 255) at (0, 0)
got new color (0, 0, 0, 255) at (49, 140)
map size 90000 pixels
filling elevation for 18000 steps, plotting every None
step 0
step 1000
step 2000
step 3000
step 4000
step 5000
step 6000
step 7000
step 8000
step 9000
step 10000
step 11000
step 12000
step 13000
step 14000
step 15000
step 16000
step 17000
         1385756690 function calls (1385534453 primitive calls) in 666.268 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.000    0.000    0.003    0.000 axis.py:342(_apply_params)
      254    0.000    0.000    0.003    0.000 transforms.py:1798(frozen)
     1421    0.000    0.000    0.001    0.000 sre_parse.py:153(__len__)
      525    0.000    0.000    0.001    0.000 contextlib.py:131(helper)
      312    0.000    0.000    0.003    0.000 markers.py:247(_recache)
        1    0.000    0.000    0.000    0.000 backend_agg.py:81(__init__)
      199    0.000    0.000    0.001    0.000 transforms.py:1826(transform_affine)
      627    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
     1055    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
       66    0.000    0.000    0.000    0.000 font_manager.py:1288(get_font)
      460    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
       98    0.000    0.000    0.006    0.000 transforms.py:1500(transform_point)
      184    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      167    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     3950    0.000    0.000    0.000    0.000 inspect.py:2434(name)
  436/274    0.000    0.000    0.000    0.000 transforms.py:2417(_get_is_affine)
       59    0.000    0.000    0.000    0.000 stride_tricks.py:185(_broadcast_shape)
       90    0.000    0.000    0.001    0.000 artist.py:985(update_from)
       74    0.000    0.000    0.006    0.000 patches.py:679(_update_patch_transform)
      410    0.000    0.000    0.002    0.000 transforms.py:123(invalidate)
       52    0.000    0.000    0.001    0.000 path.py:159(_fast_from_codes_and_verts)
     1433    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
      541    0.000    0.000    0.001    0.000 __init__.py:1424(is_interactive)
     1271    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
      160    0.000    0.000    0.006    0.000 collections.py:658(_set_facecolor)
      229    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
      205    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
       51    0.000    0.000    0.002    0.000 core.py:2773(__new__)
      435    0.000    0.000    0.004    0.000 re.py:175(sub)
     3447    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       46    0.000    0.000    0.000    0.000 function_base.py:1147(diff)
     3277    0.000    0.000    0.000    0.000 path.py:203(vertices)
    496/9    0.000    0.000    0.383    0.043 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      184    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
      212    0.000    0.000    0.003    0.000 __init__.py:540(dedent)
      532    0.000    0.000    0.002    0.000 figure.py:55(_stale_figure_callback)
      538    0.000    0.000    0.001    0.000 pyplot.py:558(_auto_draw_if_interactive)
       31    0.000    0.000    0.005    0.000 _collections_abc.py:756(update)
     1055    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
      199    0.000    0.000    0.013    0.000 sre_compile.py:516(_code)
      279    0.000    0.000    0.001    0.000 artist.py:627(set_figure)
      574    0.000    0.000    0.001    0.000 <string>:12(__new__)
     1337    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       66    0.000    0.000    0.001    0.000 text.py:863(get_prop_tup)
      429    0.000    0.000    0.004    0.000 pyparsing.py:1144(copy)
      186    0.000    0.000    0.003    0.000 artist.py:889(_update_property)
      129    0.000    0.000    0.001    0.000 inspect.py:573(cleandoc)
  691/498    0.000    0.000    0.002    0.000 {built-in method builtins.hash}
      342    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(any)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      104    0.000    0.000    0.002    0.000 transforms.py:819(from_extents)
       44    0.000    0.000    0.025    0.001 backend_agg.py:197(get_text_width_height_descent)
      149    0.000    0.000    0.001    0.000 shape_base.py:24(atleast_1d)
      432    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      468    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       78    0.000    0.000    0.000    0.000 font_manager.py:742(set_weight)
      204    0.000    0.000    0.000    0.000 lines.py:1019(_split_drawstyle_linestyle)
      148    0.000    0.000    0.001    0.000 transforms.py:2013(translate)
